اسم المصنع / المنشأة,الاسم بالإنجليزية,القطاع الصناعي,المنطقة الفرعية / المجمع الصناعي,حالة المطابقة مع CRM,الاسم المطابق في السيستم,رقم التليفون,الموقع الإلكتروني,العنوان التفصيلي,رابط Google Maps المباشر,خط العرض (Latitude),خط الطول (Longitude),التصنيف التقني Overture,المعرف الفرعي (Overture ID)
QMS certification services,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201282151116,http://www.qmscertification.org/,Al Safwa Mall - 10th District,"https://www.google.com/maps?q=29.939798,30.914001",29.939798,30.914001,business_management_services,3e244c19-f6ef-4bf5-a55a-1a04d694257a
A&M Company,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201050810354,—,السادس من اكتوبر,"https://www.google.com/maps?q=29.939798,30.914001",29.939798,30.914001,business_advertising,bd818cf3-6c72-4a07-978e-47e62b845d5e
Mopars Garage,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201009913881,http://www.mopars-garage.com/,امتداد المنطقه الصناعيه الثالثه,"https://www.google.com/maps?q=29.939798,30.914001",29.939798,30.914001,automotive_repair,8dfa29ad-deef-4f67-aecf-420be1d9a10d
المصرية للرخام والجرانيت راشد,,مواد بناء ورخام وسيراميك وخرسانة جاهزة,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201000525019,—,"الحجاز مول,الحي الاول,6 اكتوبر","https://www.google.com/maps?q=29.939798,30.914001",29.939798,30.914001,,14946fc4-fe78-4e90-bb46-31f4d1b471a6
Global Energy Company GEC,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201064969121,http://www.gec-egy.com/,الكيلو 26 طريق اسكندريه الصحراوي/ ابو رواش,"https://www.google.com/maps?q=29.939798,30.914001",29.939798,30.914001,commercial_industrial,fe190474-6a3a-44a7-a17b-99bf5bee19e4
الفا تك ALFA Tech,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201014448937,http://www.alfatech-eg.net/,"CPC Industrial Park, Northern Ext. Industrial Area 4, Block 2, 3rd floor.","https://www.google.com/maps?q=29.939798,30.914001",29.939798,30.914001,industrial_equipment,ebc14e40-af90-4d29-a509-b6c5db0f6a27
كرتون اون لاين,,تعبئة وتغليف وكرتون وطباعة,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201064097786,—,6 اكتوبر الحصري ,"https://www.google.com/maps?q=29.940031,30.914099",29.940031,30.914099,,c36303cf-9d9c-41f2-9668-cd44adb8bac2
مصنع النجمة لتشغيل المعادن,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201027476075,—,المنطقة الصناعية الثانيه - قطعه رقم 120,"https://www.google.com/maps?q=29.939913,30.914112",29.939913,30.914112,industrial_equipment,da7a0ce9-8f6d-4809-b887-a3b6ceafb9b0
عطارة الجابرى,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201146357145,—,شارع احمد لطفي السيد،6اكتوبر،قسم,"https://www.google.com/maps?q=29.941597,30.914165",29.941597,30.914165,specialty_foods,55bcd5d7-f6bb-444b-b4aa-2db06583172e
EGAT - Egyptian German Air Treatment Company,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238202626,http://www.EGATGROUP.com/,المنطقة الصناعية الثانية,"https://www.google.com/maps?q=29.914059,30.914351",29.914059,30.914351,hvac_services,2ab10707-0de5-4e6f-bd3d-645a98db3211
مخزن محجوب للسيراميك والبورسلين (٣),,مواد بناء ورخام وسيراميك وخرسانة جاهزة,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,01110076057,https://www.mahgoub.com/,"29.8963967,30.8840318","https://www.google.com/maps?q=29.910437,30.915058",29.910437,30.915058,warehouses,c0ca88fb-b792-466f-855e-718bc86080ac
شركة البركان لتصنيع الأوميالين,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201066609494,—,قطعة 245 الاولى,"https://www.google.com/maps?q=29.920286,30.914988",29.920286,30.914988,business_manufacturing_and_supply,ca4377ea-eef8-4f2d-8987-f926b1a6366b
Comex Industrial-كومكس الصناعية,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+2019957,https://www.comex.com.eg/,1st industrial zone-,"https://www.google.com/maps?q=29.915483,30.915432",29.915483,30.915432,industrial_company,0a1c35dd-e767-4097-bb3f-1909a293fb3d
Ayoub Pack,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201111506495,—,bloaries,"https://www.google.com/maps?q=29.919147,30.915354",29.919147,30.915354,industrial_company,5ea0a459-baed-48f8-893b-313424cb263d
Khater consturction,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201010610497,http://WWW.KHTERCONSTURCTION.net/,فينوس مول قسم ثان ٦ اكتوبر محافظه الجيزه,"https://www.google.com/maps?q=29.946589,30.915173",29.946589,30.915173,construction_services,ee37dcf1-b05f-4a92-8d3f-2063bdc01cfd
دياموند لأجهزة ومعدات ورش و مراكز صيانة السيارات,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201018828219,https://www.diamondegypt.com/,  شارع 2 متفرع من شارع الخزان فيلا 36د,"https://www.google.com/maps?q=29.950321,30.915091",29.950321,30.915091,,1d20ae7e-aa94-4b77-9272-f094ea4e47a7
Apex Constructions and Decoration,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201006101500,—,الحي الحادي عشر- المجاوره الرابعه - المحور المركزي - عمارة 30 امام مدينة الثقافة والعلوم,"https://www.google.com/maps?q=29.957521,30.915113",29.957521,30.915113,construction_services,ae8efa37-0ed5-467a-9c3e-964b53e3ed94
البحقيري لقطع غيار السيارات,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201019993510,http://www.elbahkery.com/,السادس من اكتوبر,"https://www.google.com/maps?q=29.94721,30.914946",29.94721,30.914946,automotive_repair,f6e7c36f-4114-4821-8389-4526fc04a3e6
Vision Kitchen ڤـيـجـن للـمطـابـخ,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201069020028,—,📍 6th of October – Central Axis – District 5 – Opposite Cairo Medical Center,"https://www.google.com/maps?q=29.947531,30.914864",29.947531,30.914864,contractor,6efdd0ab-e40b-4b5a-b9f5-12f1f048d4dd
شركة الهندسية جروب لطلمبات الأعماق والتوريدات العمومية,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201111160590,http://www.alhndasiya-group.com/,الرهاوي ,"https://www.google.com/maps?q=29.947649,30.914742",29.947649,30.914742,solar_installation,e6bc9bee-f259-4953-a071-3520e6fac920
الحي العاشر مدينة 6 اكتوبر,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,—,74 El-Tahrir Rd,"https://www.google.com/maps?q=29.964342,30.914776",29.964342,30.914776,business_manufacturing_and_supply,66ed7039-d506-4cae-a54c-e4a836dbb13d
كذا ميزا إكسسوارات سيارات,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201112727261,—,"44 The Future St - Al Bashaer, الظهير الصحراوى لمحافظة الجيزة،","https://www.google.com/maps?q=29.968433,30.914827",29.968433,30.914827,auto_parts_and_supply_store,bf65fa16-c9cb-434b-bbb4-15c6acf8899f
EG Masr Group - مجموعة ايچي مصر,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201111305955,https://sites.google.com/view/eg-masr-group,ميدان الحصري مول الأمريكية الدور السابع مكتب ١,"https://www.google.com/maps?q=29.963116,30.914778",29.963116,30.914778,real_estate_agent,c6ddfc9a-6c0b-42bc-8fd8-e4335ee56fae
Flash Car,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201111212881,—,السادس من اكتوبر,"https://www.google.com/maps?q=29.968121,30.914961",29.968121,30.914961,automotive_repair,c606ee34-9cd6-4588-850a-fa5dadec322d
الخبير للرخام والجرانيت ,,مواد بناء ورخام وسيراميك وخرسانة جاهزة,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201095968815,—, المحور المركزي/ مول الصفوه بلازا/خلف بنك الاسكان و التعمير ,"https://www.google.com/maps?q=29.978811,30.914839",29.978811,30.914839,,d14851b8-ce0c-453c-8f76-1ada29c6f728
Auto service club,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201154500733,—,1771 شارع عبدالسلام امين الحي الرابع ,"https://www.google.com/maps?q=29.97533,30.914694",29.97533,30.914694,automotive_repair,1e7a33ff-e45e-4dca-8c9e-2c057e82b80c
Quattro VW car service,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201007500751,—,Gamal abd el naser st,"https://www.google.com/maps?q=29.968513,30.915272",29.968513,30.915272,automotive_repair,8612163a-2d4a-43f0-8c6e-af2bf98dc52a
Ultra Construction Group Co,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201010460230,https://ultra-construction.com/,المحور المركزى ابراج ستى استار,"https://www.google.com/maps?q=29.97566,30.916065",29.97566,30.916065,industrial_company,f6cd4d18-3984-4d2f-b511-492da4a00e4d
Master Build,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201143333503,http://masterbuildgp.com/,"Vodafone Square, 211 Ard Almazad Rd","https://www.google.com/maps?q=29.952528,30.915812",29.952528,30.915812,interior_design,b657a838-2356-438d-8d4a-bfe6890786d8
المصرية الدنماركية للصناعات الهندسية,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201010915094,—,"near 17 Street, Sixth of October, Giza, Egypt","https://www.google.com/maps?q=29.959881,30.915716",29.959881,30.915716,industrial_company,5db1c0ab-fd92-4fa6-9ea4-5725c4d449ec
Vertex innovation & interior design,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201001071336,http://www.vertex-eng.co/,"193, Side Al Markazy Axis","https://www.google.com/maps?q=29.953037,30.915495",29.953037,30.915495,engineering_services,c4a4f4ee-29d3-4e66-b117-32e5842ec0da
تو ام جي لصيانه السيارات - 2MG Auot Services,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201112323985,—,المنطقه الصناعيه الاولي - قطعه (أ) 329,"https://www.google.com/maps?q=29.914045,30.916441",29.914045,30.916441,automotive_repair,33780a39-8ace-4c4b-bf01-3243c0147dd9
مصنع مصر لصناعة الصناديق البلاستيكية,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201110370064,—,السادس من اكتوبر,"https://www.google.com/maps?q=29.917585,30.916706",29.917585,30.916706,industrial_company,33af3b4e-9cf7-4468-9229-0886a6dc596c
Auto gean service center,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201032996677,http://www.autogencenter.com/,6 No. 6 - 1,"https://www.google.com/maps?q=29.92061,30.916924",29.92061,30.916924,automotive_repair,1c01da18-ea52-4444-9956-5584674becbf
رينو الشرقاوي,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201032996677,—,Street 6,"https://www.google.com/maps?q=29.920673,30.916889",29.920673,30.916889,automotive_repair,0a6351cf-4810-4a37-8fd0-8985b3cbe12b
مجموعة شركات دواجن الوطنية,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+2016006,—,"22 Zone A - B102 - Smart Village - Cairo Alex Desert Road - Giza - Egypt Giza, Giza Governorate, Egypt 12577","https://www.google.com/maps?q=29.958054,30.916885",29.958054,30.916885,professional_services,c7dc186b-bb43-47f8-837e-fab48ce49075
شركة أصول للإستثمار والتسويق العقارى,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201027990918,http://www.aqaryaamasr.com,سيتى ستار,"https://www.google.com/maps?q=29.958279,30.916891",29.958279,30.916891,real_estate_service,d6271796-2440-4041-9762-00800c725ddb
Sites,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201099522557,https://www.behance.net/sites_company,"City Star Mall, building 2, Al Mehwar Al Markazi","https://www.google.com/maps?q=29.958019,30.916842",29.958019,30.916842,construction_services,877653fb-d1d8-4329-be71-2f13ded078da
Integra,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201101644661,—,No.4 6,"https://www.google.com/maps?q=29.950836,30.916571",29.950836,30.916571,oil_change_station,b5f5e51a-650d-4f1f-b36f-d7349e3fc7e2
الشركة العقارية للاستثمار والتشييد والبناء,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201144796971,—,65 المحور المركزي، قسم أول 6 أكتوبر، اول 6 أكتوبر،، المحور المركزي، الجيزة،,"https://www.google.com/maps?q=29.953529,30.916422",29.953529,30.916422,real_estate_agent,acbee4ed-1a46-4680-8439-21169f385b82
شركة المطور للتطوير العقاري,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201050899490,—,"امام استاد كرة اليد, 64 د, ميدان فودافون, Al Mehwar Al Markazi","https://www.google.com/maps?q=29.953453,30.916405",29.953453,30.916405,home_developer,397ad3c5-8d1f-4c6b-b3de-c359e2a5f8a1
ARABIAN COMPANY For PEUGEOT-CITROEN-DS,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+1202222944,—,104 Street 6,"https://www.google.com/maps?q=29.949291,30.916531",29.949291,30.916531,automotive_repair,22ea42d6-cfba-483b-8878-78bc590e9aa1
G.Auto,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201101421112,—,وصله دهشور ,"https://www.google.com/maps?q=29.953547,30.916199",29.953547,30.916199,car_dealer,b0a79f79-6cca-4f2d-b85b-5d05fba863ec
MR Auto معرض سيارات,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201040002556,—,"فودافون امام مجمع صالات حسن مصطفي لكره اليد والالعاب الرياضية, ٦٤ Al Mehwar Al Markazi","https://www.google.com/maps?q=29.9534,30.916227",29.9534,30.916227,car_dealer,f59208c3-6304-424c-adad-4ea6ffccb4d5
خضروات وفواكة أولاد العم اكتوبر,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201014629060,https://maps.app.goo.gl/4xQo74e8bBWU8bG8A?g_st=ac,أكتوبر _ محور جمال عبدالناصر _ ممشى اسكوير وان _ امام جزارة خيرات بلدنا ,"https://www.google.com/maps?q=29.970118,30.916981",29.970118,30.916981,grocery_store,62fb8f98-a4c5-4728-8dc3-c0960b850215
M3 Service Center,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201150883117,—,السادس من اكتوبر,"https://www.google.com/maps?q=29.960239,30.917664",29.960239,30.917664,automotive_repair,88ed2bef-347f-4d34-84b5-4f443b0cd2de
Dr.engine,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201225322638,—,"امام كايرو ميديكال سنتر, Al Mehwar Al Markazi","https://www.google.com/maps?q=29.95451,30.917677",29.95451,30.917677,automotive_repair,44e35803-39b3-4570-a342-53bdb5864e31
Value Trading and Contracting,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201220155585,http://www.valueegypt.net/,1 شارع المركزى,"https://www.google.com/maps?q=29.957642,30.917616",29.957642,30.917616,contractor,a8ad8cd1-fe34-47c8-bdcb-b2bdd5b5e3e0
افكو مصر للاسمدة والكيماويات,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201004999673,https://afcoo.com/,"ابراج سيتي ستار, برج 4, No. 8","https://www.google.com/maps?q=29.958035,30.917576",29.958035,30.917576,agricultural_service,c6fbf2b7-3f05-4e99-b19e-ac7d44bac4e2
ونش انقاذ سيارات الجيزه والقاهره واكتوبر باقل الاسعار,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201150066097,https://www.facebook.com/profile.php?id=100081303952096&mibextid=ZbWKwL,ميدان لبنان ,"https://www.google.com/maps?q=29.948706,30.917341",29.948706,30.917341,automotive_repair,f7065478-cc5f-4584-ba1d-c76b8c97208f
Elish auto group,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201559731913,https://elishautogroup.com/,ابراج سيتي ستار، برج 1 قطعة 3، 49 Al Mehwar Al Markazi,"https://www.google.com/maps?q=29.957191,30.917276",29.957191,30.917276,car_dealer,5d81ecff-5303-490d-81fb-075cda4911f0
سيفتي لايف للتجارة والتوريدات,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201117772155,—,السادس من اكتوبر,"https://www.google.com/maps?q=29.959221,30.917217",29.959221,30.917217,occupational_safety,8c79cc56-6afe-4c51-acac-e1a4aecafe03
AMEC GROUP,,صناعات كهربائية وكابلات والكترونيات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201021020008,http://www.ameceg.com/,159 شارع 6,"https://www.google.com/maps?q=29.958174,30.917196",29.958174,30.917196,electric_utility_provider,b72ff88c-6c44-4453-9ada-e10ee9bcf8a4
DigiTech,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201140117246,http://digitechegy.tech/,المحور المركزي - الحي الـ 11 - مدينة 6 اكتوبر Giza,"https://www.google.com/maps?q=29.959297,30.917103",29.959297,30.917103,marketing_agency,c4ed80cd-0978-439d-8841-4b6126b9bd02
مجموعة شركات Ahs المستشار الاقتصادي ايمن حامد سليمان,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201101926655,http://www.ahs-group.net/,ابراج سيتي ستارز اكتوبر برج رقم 2 الدور الرابع السادس من اكتوبر الجيزه,"https://www.google.com/maps?q=29.958029,30.917055",29.958029,30.917055,investing,3f983aab-d04b-4ec1-a089-935cf499e375
كومكس الصناعية-Comex Industrial,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201002103146,https://www.comex.com.eg/," 1st industrial zone- Giza, Giza Governorate, Egypt 12573","https://www.google.com/maps?q=29.957335,30.917023",29.957335,30.917023,industrial_company,d0559907-4662-4a7b-83f5-0bc8635fe249
Convest - كونفيست,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201098996407,—,6 المحور المركزي,"https://www.google.com/maps?q=29.958403,30.917004",29.958403,30.917004,construction_services,88d53399-b4de-4742-a8a9-59b2cc9baf54
عيد الحداد,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201113348775,—,Zayed,"https://www.google.com/maps?q=29.938093,30.917145",29.938093,30.917145,metal_supplier,629fcf83-819a-4d6c-84e1-97b4b8a1e548
Healthy Degla palms,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية الثالثة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201120250606,—,بجوار صيدلية الشهابي، مول رقم ٥، كمبوند، المحل علي الواجهة الرئيسية، دجلة بالمز,"https://www.google.com/maps?q=29.883148,30.918663",29.883148,30.918663,health_food_store,9cb5f556-1b01-4f27-9255-b567218863a5
Global Pharmaceutical Industries,,أدوية ومستحضرات تجميل ومستلزمات طبية,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238164730,www.globalnapi.com,المنطقة الصناعية الثانية,"https://www.google.com/maps?q=29.912546,30.919006",29.912546,30.919006,health_and_medical,4d77e4ef-731e-4d4f-a271-2f1c3d93a2e6
Stampa,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201000636983,http://stampa-dps.com/,"6 October, Central Axis, , 2nd District ,Abazeya Mall, Office 23, 3rd floor ","https://www.google.com/maps?q=29.952854,30.918272",29.952854,30.918272,printing_services,49c8c226-4355-4761-aec2-a5eb341a68de
ونش رفع الاثاث في 6أكتوبر,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201151979497,https://elyousrtransport.com/,"الحي الثالث . 6 أكتوبر , محافظ الجيزة ","https://www.google.com/maps?q=29.951929,30.918344",29.951929,30.918344,movers,88e5f52e-0096-4c39-a34c-fe177c540ad4
French Club Service Center,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201000100805,—,مول فايف ستارز خلف كنتاكي,"https://www.google.com/maps?q=29.958,30.918409",29.958,30.918409,automotive_repair,ffe1d197-7705-4cd0-93b0-80b852fcba3c
Insha Engineering Industries,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201023419888,http://www.Inshaei.com/,E Square-Industrial Park,"https://www.google.com/maps?q=29.959101,30.918272",29.959101,30.918272,industrial_company,a05c27dd-20ea-4232-8b13-45e27a585320
7 Cylinders Service Center,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201206866667,—,"خلف فودافون, Tower 4, City Stars Towers, ElMehwar El Markzi برج 4 ، ابراج سيتي ستارز،, Al Mehwar Al Markazi","https://www.google.com/maps?q=29.957781,30.918074",29.957781,30.918074,automotive_repair,4a78974e-ead9-4ebd-bdae-a48d77d0c779
المؤسسة الدولية للكلادينج السعودي - السعيد بانل,,مواد بناء ورخام وسيراميك وخرسانة جاهزة,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201555255511,http://www.al-saeedpanel.com/,الإدارة : مدينة 6 أكتوبر : الحي العاشر - المحور المركزي ستي ستار برج 7 الدور 3 مكتب رقم 6 ,"https://www.google.com/maps?q=29.958776,30.918062",29.958776,30.918062,glass_manufacturer,48a9e434-7ab2-4746-8ec1-cbf8351d5595
Agro paradise,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201033800644,—,أبراج ستي ستارز المحور المركزي,"https://www.google.com/maps?q=29.958471,30.917944",29.958471,30.917944,industrial_company,ae153aac-13a7-439d-b744-1c9b4c2bd05a
Car Town,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201017660606,—,٦ اكتوبر- المحور الخدمي - أبراج سيتي ستارز- مركز اوتو وان & كار تاون ,"https://www.google.com/maps?q=29.957413,30.917894",29.957413,30.917894,auto_parts_and_supply_store,0617275f-d3e9-4d4f-b229-0c84bcecbff3
مصوغات الإسراء للذهب الجديد و المستعمل,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201021562363,—,on line,"https://www.google.com/maps?q=29.94268,30.917982",29.94268,30.917982,jewelry_and_watches_manufacturer,e70b774d-ac6f-41af-b9b2-4059a071d72a
Sira Egypt,,صناعات كهربائية وكابلات والكترونيات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201122477606,https://www.siraegypt.com/,new cairo,"https://www.google.com/maps?q=29.940722,30.918028",29.940722,30.918028,electronics,57aebc71-b51a-4da3-a691-48a88e92c58f
هانى نوفل مؤسسة قاصد كريم للبطاريات,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201112025249,https://maps.app.goo.gl/XK7bvSYmkF6cPBTC8?g_st=aw, هانى نوفل مؤسسه قاصد كريم للبطاريات\n,"https://www.google.com/maps?q=29.942715,30.917772",29.942715,30.917772,transportation,0f5a6b37-9578-49d4-aa41-a34f1e3f17d9
ChopShop Parts Egypt,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201011230718,—,رقم 12، قسم أول 6 أكتوبر، اول 6 أكتوبر,"https://www.google.com/maps?q=29.951708,30.917789",29.951708,30.917789,auto_parts_and_supply_store,606c62eb-6ba8-4a7d-8370-3d63c0ae05d2
City Stars Towers Mall October,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201125880990,—,مول سيتي ستار، برج ٣، المحور الخدمي,"https://www.google.com/maps?q=29.958298,30.917744",29.958298,30.917744,professional_services,50942556-0a0f-4364-b90b-bf1ede6756a7
